id;naziv;datum_pocetka_mentorskog_rada;datum_zavrsetka_mentorskog_rada
1;Metal Frozen;2019-09-17T07:56:12;2019-09-17T18:48:51
2;alliance redundant global;2019-09-17T20:40:12;2019-09-17T13:20:54
3;Ameliorated;2019-09-18T02:46:52;2019-09-17T08:06:07
4;navigating;2019-09-17T14:30:07;2019-09-17T14:40:53
5;Rustic Frozen Keyboard ROI;2019-09-18T01:27:01;2019-09-17T18:01:26
6;microchip;2019-09-17T15:21:38;2019-09-17T08:46:29
7;invoice;2019-09-17T18:48:17;2019-09-17T13:29:45
8;Jamaica Credit Card Account;2019-09-17T21:08:06;2019-09-18T06:03:36
9;Louisiana;2019-09-18T03:23:52;2019-09-17T13:01:01
10;Garden;2019-09-18T04:25:10;2019-09-18T05:00:07
