id;naziv;vrsta_projekta;datum_zavrsetka_projekta;datum_pocetka_projekta
1;calculate;Chips;2019-09-17T08:38:04;2019-09-17T19:55:36
2;uniform PCI back up;Tactics architectures Planner;2019-09-17T08:04:43;2019-09-17T07:40:39
3;Incredible functionalities fuchsia;infrastructure;2019-09-18T03:08:15;2019-09-17T22:15:39
4;matrix calculating;Arkansas Intelligent Credit Card Account;2019-09-17T07:26:39;2019-09-17T22:35:52
5;Open-architected;FTP;2019-09-17T13:25:37;2019-09-17T10:50:14
6;Metal array France;redundant;2019-09-17T11:45:46;2019-09-18T01:03:23
7;Personal Loan Account Sleek Beauty;digital deposit;2019-09-17T14:21:29;2019-09-17T21:40:57
8;Unbranded Fresh Pants Tools California;North Dakota Garden;2019-09-17T20:01:51;2019-09-18T03:29:03
9;Specialist generating;Computers Small Fresh Gloves back-end;2019-09-18T04:09:21;2019-09-17T23:21:56
10;synthesizing composite;Investment Account Refined Intelligent Granite Shirt;2019-09-17T18:13:48;2019-09-17T14:25:01
