id;naziv;pocetak_usavrsavanja;kraj_usavrsavanja
1;SCSI Aruba Chair;2019-09-17T21:20:07;2019-09-17T22:10:13
2;online Strategist Shirt;2019-09-17T16:56:47;2019-09-17T13:12:56
3;redefine transmitting;2019-09-17T17:32:51;2019-09-17T11:05:08
4;Bypass;2019-09-17T21:14:59;2019-09-18T03:59:34
5;Movies;2019-09-18T05:23:48;2019-09-17T10:27:08
6;haptic Producer Agent;2019-09-17T17:52:30;2019-09-17T17:09:43
7;capacitor program enhance;2019-09-18T01:25:09;2019-09-17T20:23:32
8;Concrete;2019-09-17T08:18:30;2019-09-18T00:36:42
9;white SMTP;2019-09-17T13:02:15;2019-09-17T16:22:13
10;global;2019-09-18T04:28:48;2019-09-18T06:40:22
