id;tip_studija;mentor;naziv;datum_zavrsetka_rada
1;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;2019-09-17T22:18:20
2;Lempira;pixel withdrawal;Mississippi embrace Developer;2019-09-17T10:49:53
3;hard drive Robust Networked;Poland;Small partnerships;2019-09-18T02:21:50
4;Dynamic;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;2019-09-18T02:19:54
5;Brand;neutral Salad;Auto Loan Account modular Refined;2019-09-17T20:14:54
6;mint green e-business EXE;back-end;granular Direct contextually-based;2019-09-17T15:39:39
7;Jewelery cutting-edge;Games;Iraq Bedfordshire;2019-09-17T14:35:13
8;encompassing;Directives;sky blue;2019-09-17T17:48:39
9;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;2019-09-17T07:46:00
10;paradigms Home;Investor Public-key;Lebanon;2019-09-17T20:27:30
